,Tool,Asymptotic pseudo-auROC value
3452,Homer,0.484
3453,STREME,0.678
3454,ExplaiNN,0.662
3455,Dimont,0.581
3456,ChIPMunk,0.587
3457,MEME,0.422
3458,Homer,0.713
3459,STREME,0.791
3460,ExplaiNN,0.432
3461,Dimont,0.78
3462,ChIPMunk,0.778
3463,MEME,0.458
3464,Homer,0.709
3465,STREME,0.932
3466,ExplaiNN,0.468
3467,Dimont,0.814
3468,ChIPMunk,0.761
3469,MEME,0.734
3470,Homer,0.441
3471,STREME,0.631
3472,ExplaiNN,0.685
3473,Dimont,0.467
3474,ChIPMunk,0.653
3475,MEME,0.794
3476,Homer,0.84
3477,STREME,0.601
3478,ExplaiNN,0.787
3479,Dimont,0.991
3480,ChIPMunk,0.9
3481,MEME,0.641
3482,Homer,0.703
3483,STREME,0.777
3484,ExplaiNN,0.578
3485,Dimont,0.726
3486,ChIPMunk,0.828
3487,MEME,0.878
3488,Homer,0.949
3489,STREME,0.791
3490,ExplaiNN,0.647
3491,Dimont,0.923
3492,ChIPMunk,0.989
3493,MEME,0.824
3494,Homer,0.649
3495,STREME,0.903
3496,ExplaiNN,0.617
3497,Dimont,0.981
3498,ChIPMunk,0.746
3499,MEME,0.978
3500,Homer,0.856
3501,STREME,0.681
3502,ExplaiNN,0.988
3503,Dimont,0.791
3504,ChIPMunk,0.932
3505,MEME,0.693
3506,Homer,0.909
3507,STREME,0.706
3508,ExplaiNN,0.728
3509,Dimont,0.732
3510,ChIPMunk,0.959
3511,MEME,0.805
3512,Homer,0.679
3513,STREME,0.693
3514,ExplaiNN,0.922
3515,Dimont,0.761
3516,ChIPMunk,0.709
3517,MEME,0.951
3518,Homer,0.646
3519,STREME,0.955
3520,ExplaiNN,0.849
3521,Dimont,0.801
3522,ChIPMunk,0.672
3523,MEME,0.658
3524,Homer,0.761
3525,STREME,0.854
3526,ExplaiNN,0.65
3527,Dimont,0.937
3528,ChIPMunk,0.806
3529,MEME,0.614
3530,Homer,0.786
3531,STREME,0.895
3532,ExplaiNN,0.616
3533,Dimont,0.689
3534,ChIPMunk,0.836
3535,MEME,0.798
3536,Homer,0.871
3537,STREME,0.886
3538,ExplaiNN,0.804
3539,Dimont,0.733
3540,ChIPMunk,0.946
3541,MEME,0.825
3542,Homer,0.63
3543,STREME,0.869
3544,ExplaiNN,0.82
3545,Dimont,0.7
3546,ChIPMunk,0.68
3547,MEME,0.915
3548,Homer,0.695
3549,STREME,0.755
3550,ExplaiNN,0.819
3551,Dimont,0.951
3552,ChIPMunk,0.77
3553,MEME,0.677
3554,Homer,0.687
3555,STREME,0.712
3556,ExplaiNN,0.561
3557,Dimont,0.834
3558,ChIPMunk,0.761
3559,MEME,0.691
3560,Homer,0.936
3561,STREME,0.741
3562,ExplaiNN,0.669
3563,Dimont,0.911
3564,ChIPMunk,0.95
3565,MEME,0.674
3566,Homer,0.82
3567,STREME,0.904
3568,ExplaiNN,0.656
3569,Dimont,0.897
3570,ChIPMunk,0.832
3571,MEME,0.948
3572,Homer,0.858
3573,STREME,0.915
3574,ExplaiNN,0.749
3575,Dimont,0.881
3576,ChIPMunk,0.89
3577,MEME,0.833
3578,Homer,0.849
3579,STREME,0.812
3580,ExplaiNN,0.694
3581,Dimont,0.752
3582,ChIPMunk,0.882
3583,MEME,0.882
3584,Homer,0.891
3585,STREME,0.715
3586,ExplaiNN,0.856
3587,Dimont,0.723
3588,ChIPMunk,0.903
3589,MEME,0.878
3590,Homer,0.782
3591,STREME,0.871
3592,ExplaiNN,0.851
3593,Dimont,0.754
3594,ChIPMunk,0.782
3595,MEME,0.866
3596,Homer,0.681
3597,STREME,0.936
3598,ExplaiNN,0.815
3599,Dimont,0.873
3600,ChIPMunk,0.711
3601,MEME,0.751
3602,Homer,0.716
3603,STREME,0.687
3604,ExplaiNN,0.708
3605,Dimont,0.876
3606,ChIPMunk,0.699
3607,MEME,0.712
3608,Homer,0.844
3609,STREME,0.71
3610,ExplaiNN,0.672
3611,Dimont,0.885
3612,ChIPMunk,0.901
3613,MEME,0.736
3614,Homer,0.842
3615,STREME,0.706
3616,ExplaiNN,0.696
3617,Dimont,0.816
3618,ChIPMunk,0.901
3619,MEME,0.856
3620,Homer,0.798
3621,STREME,0.71
3622,ExplaiNN,0.882
3623,Dimont,0.893
3624,ChIPMunk,0.878
3625,MEME,0.864
3626,Homer,0.687
3627,STREME,0.702
3628,ExplaiNN,0.879
3629,Dimont,0.979
3630,ChIPMunk,0.786
3631,MEME,0.825
3632,Homer,0.873
3633,STREME,0.787
3634,ExplaiNN,0.842
3635,Dimont,0.758
3636,ChIPMunk,0.895
3637,MEME,0.728
3638,Homer,0.927
3639,STREME,0.801
3640,ExplaiNN,0.679
3641,Dimont,0.734
3642,ChIPMunk,0.969
3643,MEME,0.881
3644,Homer,0.643
3645,STREME,0.792
3646,ExplaiNN,0.849
3647,Dimont,0.741
3648,ChIPMunk,0.75
3649,MEME,0.958
3650,Homer,0.737
3651,STREME,0.8
3652,ExplaiNN,0.959
3653,Dimont,0.674
3654,ChIPMunk,0.727
3655,MEME,0.658
3656,Homer,0.745
3657,STREME,0.834
3658,ExplaiNN,0.703
3659,Dimont,0.669
3660,ChIPMunk,0.734
3661,MEME,0.707
3662,Homer,0.685
3663,STREME,0.596
3664,ExplaiNN,0.702
3665,Dimont,0.742
3666,ChIPMunk,0.667
3667,MEME,0.711
3668,Homer,0.678
3669,STREME,0.554
3670,ExplaiNN,0.719
3671,Dimont,0.757
3672,ChIPMunk,0.664
3673,MEME,0.712
3674,Homer,0.742
3675,ExplaiNN,0.681
3676,Dimont,0.74
3677,ChIPMunk,0.805
3678,MEME,0.694
3679,Homer,0.749
3680,ExplaiNN,0.684
3681,Dimont,0.756
3682,ChIPMunk,0.818
3683,MEME,0.799
3684,Homer,0.743
3685,ExplaiNN,0.73
3686,Dimont,0.79
3687,ChIPMunk,0.811
3688,MEME,0.815
3689,Homer,0.748
3690,ExplaiNN,0.722
3691,Dimont,0.609
3692,ChIPMunk,0.82
3693,MEME,0.806
3694,Homer,0.773
3695,ExplaiNN,0.731
3696,Dimont,0.574
3697,ChIPMunk,0.849
3698,MEME,0.816
3699,Homer,0.596
3700,ExplaiNN,0.723
3701,ChIPMunk,0.617
3702,MEME,0.844
3703,Homer,0.563
3704,ExplaiNN,0.739
3705,ChIPMunk,0.543
3706,MEME,0.583
3707,ExplaiNN,0.599
3708,MEME,0.536
3709,ExplaiNN,0.573
