,Tool,auROC value
3456,ChIPMunk,0.765
3457,MEME,0.885
3458,Homer,0.91
3459,STREME,0.91
3460,ExplaiNN,0.875
3461,Dimont,0.816
3462,ChIPMunk,0.761
3463,MEME,0.704
3464,Homer,0.807
3465,STREME,0.719
3466,ExplaiNN,0.755
3467,Dimont,0.837
3468,ChIPMunk,0.739
3469,MEME,0.709
3470,Homer,0.816
3471,STREME,0.75
3472,ExplaiNN,0.766
3473,Dimont,0.867
3474,ChIPMunk,0.762
3475,MEME,0.756
3476,Homer,0.792
3477,STREME,0.767
3478,ExplaiNN,0.68
3479,Dimont,0.863
3480,ChIPMunk,0.632
3481,MEME,0.804
3482,Homer,0.754
3483,STREME,0.762
3484,ExplaiNN,0.775
3485,Dimont,0.775
3486,ChIPMunk,0.882
3487,MEME,0.657
3488,Homer,0.758
3489,STREME,0.752
3490,ExplaiNN,0.636
3491,Dimont,0.689
3492,ChIPMunk,0.828
3493,MEME,0.783
3494,Homer,0.829
3495,STREME,0.865
3496,ExplaiNN,0.684
3497,Dimont,0.612
3498,ChIPMunk,0.997
3499,MEME,0.749
3500,Homer,0.749
3501,STREME,0.815
3502,ExplaiNN,0.621
3503,Dimont,0.998
3504,ChIPMunk,0.992
3505,MEME,0.995
3506,Homer,0.988
3507,STREME,0.995
3508,ExplaiNN,0.998
3509,Dimont,0.995
3510,ChIPMunk,0.905
3511,MEME,0.986
3512,Homer,0.982
3513,STREME,0.988
3514,ExplaiNN,0.993
3515,Dimont,0.924
3516,ChIPMunk,0.965
3517,MEME,0.786
3518,Homer,0.857
3519,STREME,0.804
3520,ExplaiNN,0.888
3521,Dimont,0.98
3522,ChIPMunk,0.767
3523,MEME,0.956
3524,Homer,0.929
3525,STREME,0.952
3526,ExplaiNN,0.857
3527,Dimont,0.881
3528,ChIPMunk,0.766
3529,MEME,0.784
3530,Homer,0.751
3531,STREME,0.754
3532,ExplaiNN,0.763
3533,Dimont,0.882
3534,ChIPMunk,0.867
3535,MEME,0.788
3536,Homer,0.746
3537,STREME,0.747
3538,ExplaiNN,0.765
3539,Dimont,0.887
3540,ChIPMunk,0.841
3541,MEME,0.868
3542,Homer,0.857
3543,STREME,0.857
3544,ExplaiNN,0.843
3545,Dimont,0.856
3546,ChIPMunk,0.954
3547,MEME,0.84
3548,Homer,0.833
3549,STREME,0.84
3550,ExplaiNN,0.819
3551,Dimont,0.963
3552,ChIPMunk,0.867
3553,MEME,0.94
3554,Homer,0.911
3555,STREME,0.934
3556,ExplaiNN,0.868
3557,Dimont,0.885
3558,ChIPMunk,0.753
3559,MEME,0.87
3560,Homer,0.827
3561,STREME,0.857
3562,ExplaiNN,0.641
3563,Dimont,0.782
3564,ChIPMunk,0.765
3565,MEME,0.727
3566,Homer,0.724
3567,STREME,0.724
3568,ExplaiNN,0.69
3569,Dimont,0.78
3570,ChIPMunk,0.949
3571,MEME,0.72
3572,Homer,0.719
3573,STREME,0.728
3574,ExplaiNN,0.694
3575,Dimont,0.95
3576,ChIPMunk,0.827
3577,MEME,0.95
3578,Homer,0.952
3579,STREME,0.955
3580,ExplaiNN,0.718
3581,Dimont,0.83
3582,ChIPMunk,0.938
3583,MEME,0.819
3584,Homer,0.821
3585,STREME,0.824
3586,ExplaiNN,0.633
3587,Dimont,0.956
3588,ChIPMunk,0.923
3589,MEME,0.941
3590,Homer,0.935
3591,STREME,0.937
3592,ExplaiNN,0.922
3593,Dimont,0.941
3594,ChIPMunk,0.875
3595,MEME,0.925
3596,Homer,0.92
3597,STREME,0.921
3598,ExplaiNN,0.906
3599,Dimont,0.89
3600,ChIPMunk,0.833
3601,MEME,0.848
3602,Homer,0.849
3603,STREME,0.851
3604,ExplaiNN,0.78
3605,Dimont,0.856
3606,ChIPMunk,0.823
3607,MEME,0.803
3608,Homer,0.812
3609,STREME,0.806
3610,ExplaiNN,0.751
3611,Dimont,0.874
3612,ChIPMunk,0.812
3613,MEME,0.836
3614,Homer,0.811
3615,STREME,0.835
3616,ExplaiNN,0.76
3617,Dimont,0.89
3618,ChIPMunk,0.992
3619,MEME,0.848
3620,Homer,0.825
3621,STREME,0.854
3622,ExplaiNN,0.764
3623,Dimont,0.998
3624,ChIPMunk,0.994
3625,MEME,0.99
3626,Homer,0.992
3627,STREME,0.995
3628,ExplaiNN,0.994
3629,Dimont,0.998
3630,ChIPMunk,0.859
3631,MEME,0.993
3632,Homer,0.991
3633,STREME,0.996
3634,ExplaiNN,0.995
3635,Dimont,0.877
3636,ChIPMunk,0.888
3637,MEME,0.86
3638,Homer,0.867
3639,STREME,0.85
3640,ExplaiNN,0.832
3641,Dimont,0.936
3642,ChIPMunk,0.965
3643,MEME,0.881
3644,Homer,0.871
3645,STREME,0.87
3646,ExplaiNN,0.839
3647,Dimont,0.956
3648,ChIPMunk,0.95
3649,MEME,0.958
3650,Homer,0.947
3651,STREME,0.954
3652,ExplaiNN,0.938
3653,Dimont,0.975
3654,ChIPMunk,0.746
3655,MEME,0.954
3656,Homer,0.941
3657,STREME,0.951
3658,ExplaiNN,0.962
3659,Dimont,0.842
3660,ChIPMunk,0.868
3661,MEME,0.723
3662,Homer,0.7
3663,STREME,0.74
3664,ExplaiNN,0.769
3665,Dimont,0.87
3666,ChIPMunk,0.859
3667,MEME,0.859
3668,Homer,0.864
3669,STREME,0.846
3670,ExplaiNN,0.829
3671,Dimont,0.868
3672,ChIPMunk,0.872
3673,MEME,0.846
3674,Homer,0.848
3675,STREME,0.832
3676,ExplaiNN,0.809
3677,Dimont,0.868
3678,ChIPMunk,0.871
3679,MEME,0.878
3680,Homer,0.87
3681,STREME,0.879
3682,ExplaiNN,0.861
3683,Dimont,0.868
3684,ChIPMunk,0.812
3685,MEME,0.881
3686,Homer,0.87
3687,STREME,0.881
3688,ExplaiNN,0.866
3689,Dimont,0.847
3690,ChIPMunk,0.816
3691,MEME,0.82
3692,Homer,0.805
3693,STREME,0.797
3694,ExplaiNN,0.798
3695,Dimont,0.846
3696,ChIPMunk,0.806
3697,MEME,0.822
3698,Homer,0.811
3699,STREME,0.792
3700,ExplaiNN,0.799
3701,Dimont,0.835
3702,ChIPMunk,0.822
3703,MEME,0.809
3704,Homer,0.797
3705,STREME,0.774
3706,ExplaiNN,0.789
3707,Dimont,0.854
3708,ChIPMunk,0.842
3709,MEME,0.829
3710,Homer,0.814
3711,STREME,0.804
3712,ExplaiNN,0.808
3713,Dimont,0.86
3714,ChIPMunk,0.819
3715,MEME,0.842
3716,Homer,0.843
3717,STREME,0.834
3718,ExplaiNN,0.834
3719,Dimont,0.837
3720,ChIPMunk,0.819
3721,MEME,0.802
3722,Homer,0.803
3723,STREME,0.785
3724,ExplaiNN,0.734
3725,Dimont,0.864
3726,MEME,0.819
3727,Homer,0.795
3728,STREME,0.811
3729,ExplaiNN,0.728
